"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
provides_othent_data_151,mapping_meeting,,checkbox,"Please describe","1, <span style=""border-top: 1px solid black; display:inline-block; padding:2px 0;"">Information data</span> | 2, Biological samples | 3, <span style=""border-bottom: 1px solid black; display:inline-block; padding:2px 0 2px 0; padding-right:5em;"">Images</span>",,,,,,"[provides_othent_12_151(2)] = '1'",,,,,,
provides_othent_35_151,mapping_meeting,,checkbox,"Items Florey to receive","3, IP / Other study materials | 4, Funding | 5, Services",,,,,,,,LV,,,,
provides_othent_serv_151,mapping_meeting,,text,"Please describe",,,,,,,"[provides_othent_35_151(5)] = '1'",,RH,,,,
provides_othent_68_151,mapping_meeting,,checkbox,"Items Florey to receive","6, Participant referrals | 7, Premises use | 8, Other",,,,,,,,LV,,,,
provides_othent_oth_151,mapping_meeting,,text,"Please describe",,,,,,,"[provides_othent_68_151(8)] = '1'",,RH,,,,
agree_othent_151,mapping_meeting,,checkbox,"Agreements recommended by Legal","1, Non-Disclosure (Confidentiality) Agreement | 2, Clinical Trial Research Agreement (CTRA) | 3, Collaboration/MACH Agreement | 4, Funding Agreement | 5, Data Transfer Agreement | 6, Indemnity Agreement | 7, Services Agreement | 8, Licensing Agreement | 9, Commercial Agreement | 10, Other | 11, None",,,,,,,,,,,," @NONEOFTHEABOVE='11'"
agree_othent_oth_151,mapping_meeting,,text,"Please describe the type of agreement",,,,,,,"[agree_othent_151(10)] = '1'",,,,,,
partic_no_study,mapping_meeting,"<p style=""font-size: 16px; text-align: center;""><span style=""font-weight: bold;"">Participant Recruitment",text,"<div class=""rich-text-field-label""><p>How many participants are expected to be recruited across the <span style=""text-decoration: underline;"">whole study</span>?</p></div>",,,,,,,"[eoi_arm_1][role] = ""0"" OR [eoi_arm_1][role] = ""4""",,RH,,,,
partic_no_au,mapping_meeting,,text,"<div class=""rich-text-field-label""><p>How many participants are expected to be recruited <span style=""text-decoration: underline;"">within Australia</span>?</p></div>",,,,,,,"[eoi_arm_1][role] = ""1""",,RH,,,,
partic_no_florey,mapping_meeting,,text,"<div class=""rich-text-field-label""><p>How many participants are expected to be recruited <span style=""text-decoration: underline;"">at the Florey</span>?</p></div>",,,,,,,"[eoi_arm_1][role] = ""2"" OR [eoi_arm_1][role] = ""4""",,RH,,,,
mapmeet_depts,mapping_meeting,"<p style=""font-size: 16px; text-align: center;""><span style=""font-weight: bold;"">Florey Departments",checkbox,"List other Florey departments that need to be involved","1, Legal | 2, People & Culture | 3, Information Technology (IT) | 4, Enterprise & Innovation (E&I) | 5, Finance | 6, Clinics / Imaging | 7, Neuroscience Trials Australia (NTA) | 8, Grants | 9, No other departments required",,,,,,,,,,,," @NONEOFTHEABOVE = '9'"
risk_estimate,mapping_meeting,"<p style=""font-size: 16px; text-align: center;""><span style=""font-weight: bold;"">Estimated Risk Rating",radio,"Risk rating estimate","1, Low | 2, Medium | 3, High | 4, Extreme",,,,,,,,,,,,
mapmeet_notes,mapping_meeting,"<p style=""font-size: 16px; text-align: center;""><span style=""font-weight: bold;"">Meeting Notes",notes,"Meeting Notes",,,,,,,,,,,,,
mapmeet_yn_1,mapping_meeting,"<p style=""font-size: 16px; text-align: center;""><span style=""font-weight: bold;"">Additional Meetings",yesno,"Was another Mapping Meeting conducted?",,,,,,,,,RH,,,,
mapmeet_date_2,mapping_meeting,,text,"<div class=""rich-text-field-label""><p>Date of the meeting</p></div>",,DD-MM-YYYY,date_dmy,,,,"[mapmeet_yn_1] = '1'",,,,,,
mapmeet_notes_2,mapping_meeting,,notes,"Meeting Notes",,,,,,,"[mapmeet_yn_1] = '1'",,,,,,
mapmeet_yn_2,mapping_meeting,,yesno,"Was another Mapping Meeting conducted?",,,,,,,"[mapmeet_yn_1] = '1'",,RH,,,,
mapmeet_date_3,mapping_meeting,,text,"<div class=""rich-text-field-label""><p>Date of the meeting</p></div>",,DD-MM-YYYY,date_dmy,,,,"[mapmeet_yn_2] = '1'",,,,,,
mapmeet_notes_3,mapping_meeting,,notes,"Meeting Notes",,,,,,,"[mapmeet_yn_2] = '1'",,,,,,
dag,full_application,,descriptive,"The Data Access Group (the unique group name) to which the current user belongs (blank if not in a DAG): [user-dag-name]",,,,,,,,,,,,," @HIDDEN"
dag_2,full_application,,descriptive,"The Data Access Group (the unique group name) to which the current user belongs (blank if not in a DAG): [user-dag-name]",,,,,,,,,,,,," @HIDDEN"
username,full_application,,text,"The current user's REDCap username",,,,,,,,y,,,,," @USERNAME @HIDDEN"
site,full_application,,calc,"The DAG number","if([username]='govern_gjackson','1',if([username]='govern_cfloreys','2',if([username]='govern_abrodtman','3',if([username]='govern_jbernhardt','4',if([username]='govern_vthijs','5',if([username]='govern_khayward','6',if([username]='govern_jkim','7',if([username]='govern_alawrence','8',if([username]='govern_dvaughan','9',if([username]='govern_cstehmann','10',if([username]='govern_ctailby','11',if([username]='govern_abush','12',if([username]='govern_lcarey','13',if([username]='govern_ghalliday','14',if([username]='govern_jwiley_bgu','15',if([username]='govern_dabbot','16',''))))))))))))))))",,,,,,,,,,,," @HIDDEN"
today,full_application,,text,"Date of today",,DD-MM-YYYY,date_dmy,,,,,y,,,,," @TODAY @HIDDEN"
app_label,full_application,,text,"Application Text",,,,,,,,,,,,," @CALCTEXT(IF([eoi_arm_1][role] = '0', ""Sponsorship"", IF([eoi_arm_1][role] = '1', ""Sponsorship"", IF([eoi_arm_1][role] = '2', ""Site Specific"", IF([eoi_arm_1][role] = '4', ""Sponsorship and Site Specific"","""")))))
@HIDDEN"
app_heading,full_application,,descriptive,"<div class=""rich-text-field-label""><div class=""blue"" style=""text-align: center; background-color: #003366; border: 1px solid #000000;""> <h6 style=""text-align: center;""><span style=""color: #ffffff;""><strong>[app_label] Application</strong></span></h6> <p style=""text-align: center;""><span style=""color: #ffffff;"">Please provide the requested information about your project in the form below.</span></p> <p style=""text-align: center;""><span style=""color: #ffffff;"">Once all sections are complete, select the <strong>SUBMIT FOR REVIEW</strong> button at the end of the page.<br />Your application will be forwarded to the Clinical Governance Office for review.</span></p> <p style=""text-align: center;""><em><span style=""color: #ffffff;"">* Please note: Some details have been pre-filled for you</span></em></p> </div></div>",,,,,,,,,,,,,
ix_label_2,full_application,,text,"Investigator label",,,,,,,,,,,,," @CALCTEXT(IF([eoi_arm_1][role]=""0"" or [eoi_arm_1][role]=""1"" or [eoi_arm_1][role]=""4"", 'Chief/Principal Investigator', 'Florey Principal Investigator'))
@HIDDEN"
ix_contact_table_2,full_application,"<p style=""font-size: 16px; text-align: center;""><span style=""font-weight: bold;"">Florey Investigator Team",descriptive,"<table style=""border-collapse: collapse; width: 100%; height: 161.625px;""> <tbody> <tr style=""height: 44.6979px;""> <td style=""border-top: 1px solid #000000; border-bottom: 1px solid #000000; border-left: none; border-right: none; height: 161.625px; width: 19.6513%;"" rowspan=""3"">[ix_label_2]</td> <td style=""width: 39.7267%; border-top: 1px solid #000000; border-bottom: none; border-left: none; border-right: none; height: 44.6979px;""> <p>Name: {ix_name_2}</p> </td> <td style=""width: 40.5749%; border-top: 1px solid #000000; border-bottom: none; border-left: none; border-right: none; height: 44.6979px;""> <p>Affiliations: {ix_affiliation_2}</p> </td> </tr> <tr style=""height: 44.1979px;""> <td style=""width: 39.7267%; height: 44.1979px; border: none;""> <p>Email: {ix_email_2}</p> </td> <td style=""width: 40.5749%; height: 44.1979px; border: none;""> <p>Phone: {ix_phone_2}</p> </td> </tr> <tr style=""height: 72.7292px;""> <td style=""width: 39.7267%; border-top: none; border-bottom: 1px solid #000000; border-left: none; border-right: none; height: 72.7292px; vertical-align: top;""> <p>ICH GCP certification: {ix_gcp_2}</p> <p><em><span style=""font-weight: normal;"">{gcp_info_yn_2}</span></em></p> </td> <td style=""width: 40.5749%; border-top: none; border-bottom: 1px solid #000000; border-left: none; border-right: none; height: 72.7292px;""> <p>Is this person conducting a medical procedure? <span style=""font-weight: normal;""><em>e.g. administering medication, collecting blood, taking images</em></span></p> <p>{ix_meds_yn_2}[ix_meds_what_text_2]{ix_meds_what_2}[ix_meds_qual_text_2]{ix_meds_qual_2}</p> </td> </tr> </tbody> </table>",,,,,,,,,,,,,
ix_name_2,full_application,,text,"Name of [ix_label_2]",,,,,,,,y,,,,," @DEFAULT = '[eoi_arm_1][ix_name_1]'"
ix_affiliation_2,full_application,,text,"Affiliations of [ix_label_2]",,,,,,,,y,,,,," @DEFAULT = '[eoi_arm_1][ix_affiliation_1]'"
ix_email_2,full_application,,text,"Email address of [ix_label_2]",,,email,,,,,y,,,,," @DEFAULT = '[eoi_arm_1][ix_email_1]'"
ix_phone_2,full_application,,text,"Contact number of [ix_label_2]",,,,,,,,y,,,,," @DEFAULT = '[eoi_arm_1][ix_phone_1]'"
ix_gcp_2,full_application,,file,"ICH GCP Certification for [ix_label_2]",,,,,,,,y,,,,," @INLINE"
gcp_info_yn_2,full_application,,checkbox,"Want to know more about GCP certification?","1, Want to know more about GCP certification?",,,,,,,,RH,,,,
ix_meds_yn_2,full_application,,yesno,"Is this person administering a medical procedure?",,,,,,,,y,RH,,,,
ix_meds_what_text_2,full_application,,text,"What will they be doing?",,,,,,,,,,,,," @CALCTEXT(IF([ix_meds_yn_2] = '1','What will they be doing? ', ' '))
@HIDDEN"
ix_meds_what_2,full_application,,text,"What will they be doing?",,,,,,,"[ix_meds_yn_2] = '1'",y,,,,,
ix_meds_qual_text_2,full_application,,text,"Upload relevant qualification(s):",,,,,,,,,,,,," @CALCTEXT(IF([ix_meds_yn_2] = '1','Upload relevant qualification(s): ', ' '))
@HIDDEN"
ix_meds_qual_2,full_application,,file,"Upload relevant qualifications",,,,,,,"[ix_meds_yn_2] = '1'",y,,,,," @INLINE"
gcp_info_2,full_application,,descriptive,"<div class=""rich-text-field-label""><div style=""background-color: #c1ffc1; padding: 10px; border: 1px solid #000000; text-align: center;""> <p style=""margin: 6px; text-align: center;"">All team members <span style=""font-weight: normal;""><strong>are required to complete ICH-GCP training</strong> before beginning work on the study.</span><br /><span style=""font-weight: normal;"">This ensures that everyone involved is aware of Good Clinical Practice principles and their responsibilities under the guidelines.</span></p> <p style=""margin: 6px; text-align: center;""><span style=""font-weight: normal;"">Free internationally recognised training is available here:<a href=""https://globalhealthtrainingcentre.tghn.org/ich-good-clinical-practice"" target=""_blank"" rel=""noopener""><br /></a><a href=""https://globalhealthtrainingcentre.tghn.org/ich-good-clinical-practice"" target=""_blank"" rel=""noopener"">https://globalhealthtrainingcentre.tghn.org/ich-good-clinical-practice</a><a href=""https://globalhealthtrainingcentre.tghn.org/ich-good-clinical-practice"" target=""_blank"" rel=""noopener""><br /></a></span></p> <p style=""margin: 6px; text-align: center;""><span style=""font-weight: normal;"">To complete the training:</span></p> <p style=""margin: 6px; text-align: center;"">1.<span style=""font-weight: normal;""> Register</span></p> <p style=""margin: 6px; text-align: center;"">2.<span style=""font-weight: normal;""> Go to ""eLearning courses"" → ""short courses"" → select <em>ICH Good Clinical Practice E6 (R2)</em></span></p> <p style=""margin: 6px; text-align: center;"">3. <span style=""font-weight: normal;"">Allow 45-60 minutes to complete the module</span></p> <p style=""margin: 6px; text-align: center;"">4.<span style=""font-weight: normal;""> A certificate is issued once a minimum of 80% is achieved in the final quiz section.</span></p> <p style=""margin: 6px; text-align: center;""><br /><span style=""font-weight: normal;"">Certification is valid for 3 years from the date of completion.</span><br /><span style=""font-weight: normal;"">You can download and print your certificate for your files.</span><br /><span style=""font-weight: normal;"">This training is provided courtesy of <a href=""http://www.theglobalhealthnetwork.org"" target=""_blank"" rel=""noopener"">The Global Health Network</a>.</span></p> </div></div>",,,,,,,"[gcp_info_yn_2(1)] = '1'",,,,,,
prim_check_2,full_application,,radio,"Who is the primary contact for the study?","1, [ix_label_2] | 2, Someone else",,,,,,,y,RH,,,," @DEFAULT = '[eoi_arm_1][prim_check_1:value]'"
prim_contact_table_2,full_application,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 126.927px;""> <tbody> <tr style=""height: 72.7292px;""> <td style=""border-top: 1px solid #000000; border-bottom: 1px solid #000000; border-left: none; border-right: none; height: 126.927px; width: 19.6513%;"" rowspan=""3"">Primary Contact</td> <td style=""width: 39.7267%; border-top: 1px solid #000000; border-bottom: none; border-left: none; border-right: none; height: 72.7292px;""> <p>Name: {prim_name_2}</p> </td> <td style=""width: 40.5749%; border-top: 1px solid #000000; border-bottom: none; border-left: none; border-right: none; height: 72.7292px;""> <p>Role: {prim_role_2}</p> <p>{prim_role_other_2}</p> </td> </tr> <tr style=""height: 44.1979px;""> <td style=""width: 39.7267%; height: 44.1979px; border: none;""> <p>Email: {prim_email_2}</p> </td> <td style=""width: 40.5749%; height: 44.1979px; border: none;""> <p>Phone: {prim_phone_2}</p> </td> </tr> <tr style=""height: 10px;""> <td style=""width: 39.7267%; border-top: none; border-bottom: 1px solid #000000; border-left: none; border-right: none; height: 10px; vertical-align: top;""> <p>ICH GCP certification: {prim_gcp_2}</p> </td> <td style=""width: 40.5749%; border-top: none; border-bottom: 1px solid #000000; border-left: none; border-right: none; height: 10px;""> <p>Is this person conducting a medical procedure? {prim_meds_yn_2}[prim_meds_what_text_2]{prim_meds_what_2}[prim_meds_qual_text_2]{prim_meds_qual_2}</p> </td> </tr> </tbody> </table></div>",,,,,,,"[prim_check_2] = '2'",,,,,,
prim_name_2,full_application,,text,"Name of Primary Contact",,,,,,,,y,,,,," @DEFAULT = '[eoi_arm_1][prim_name_1]'"
prim_role_2,full_application,,dropdown,"Primary Contact Role","1, Co-Investigator | 2, Study Coordinator | 3, Research Assistant / Officer | 4, Other",,,,,,,y,,,,," @DEFAULT = '[eoi_arm_1][prim_role_1:value]'"
prim_role_other_2,full_application,,text,"Please describe",,,,,,,"[prim_role_2] = '4'",y,,,,," @DEFAULT = '[eoi_arm_1][prim_role_other_1]'"
prim_email_2,full_application,,text,"Email address of Primary Contact",,,email,,,,,y,,,,," @DEFAULT = '[eoi_arm_1][prim_email_1]'"
prim_phone_2,full_application,,text,"Contact number of Primary Contact",,,,,,,,y,,,,," @DEFAULT = '[eoi_arm_1][prim_phone_1]'"
prim_gcp_2,full_application,,file,"ICH GCP Certification for Primary Contact",,,,,,,,y,,,,," @INLINE"
prim_meds_yn_2,full_application,,yesno,"Is this person administering a medical procedure?",,,,,,,,y,RH,,,,
prim_meds_what_text_2,full_application,,text,"What will they be doing?",,,,,,,,,,,,," @CALCTEXT(IF([prim_meds_yn_2] = '1','What will they be doing? ', ' '))
@HIDDEN"
prim_meds_what_2,full_application,,text,"What will they be doing?",,,,,,,"[prim_meds_yn_2] = '1'",y,,,,,
prim_meds_qual_text_2,full_application,,text,"Upload relevant qualification(s):",,,,,,,,,,,,," @CALCTEXT(IF([prim_meds_yn_2] = '1','Upload relevant qualification(s): ', ' '))
@HIDDEN"
prim_meds_qual_2,full_application,,file,"Upload relevant qualifications",,,,,,,"[prim_meds_yn_2] = '1'",y,,,,," @INLINE"
team_num,full_application,"<p style=""font-size: 16px; text-align: center;""><span style=""font-weight: bold;"">Other Team Members",text,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; float: left; border-style: none;""> <tbody> <tr style=""height: 25.4479px;""> <td style=""height: 25.4479px; width: 58.2612%; border: none;"" colspan=""2""> <div style=""display: inline-block; text-align: left; max-width: 900px;""> <p style=""margin: 6px; font-weight: bold; text-align: left;"">How many other <strong>Florey team members</strong> are involved in this study?</p> </div> <div style=""display: inline-block; text-align: left; max-width: 900px;""> <p style=""margin: 6px; font-weight: bold; text-align: left;""><span style=""font-weight: normal;""><em>Please include <strong data-start=""682"" data-end=""705"">all other personnel</strong> involved in the study's conduct, including, but not limited to:</em></span></p> <ul> <ul> <li><span style=""font-weight: normal;""><em>Florey Co-Investigators</em></span></li> <li><span style=""font-weight: normal;""><em>Study Coordinators</em></span></li> <li><span style=""font-weight: normal;""><em>Research Assistants / Officers</em></span></li> <li><span style=""font-weight: normal;""><em>Students</em></span></li> <li><span style=""font-weight: normal;""><em>Visitors and </em><em>Honorary appointees</em></span></li> </ul> </ul> </div> </td> </tr> </tbody> </table></div>",,"0 - 10<br><br>To add or remove lines, change this number",integer,0,10,,,y,,,,,
team_table_1,full_application,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.995%; border-style: none; height: 54.8646px;""> <tbody> <tr style=""height: 44.8646px; border-top: 1px solid black;""> <td style=""height: 54.8646px; border-top: 1px solid black; border-bottom: 1px solid black; border-left: none; border-right: none; width: 19.0199%;"" rowspan=""2"">Team Member 1</td> <td style=""width: 39.8578%; height: 44.8646px; border-top: 1px solid black; border-bottom: none; border-left: none; border-right: none;""> <p>Name: {team_name_1}</p> </td> <td style=""width: 41.1165%; height: 44.8646px; border-top: 1px solid black; border-bottom: none; border-left: none; border-right: none;""> <p>Role: {team_role_1}{team_role_other_1}</p> </td> </tr> <tr style=""height: 10px;""> <td style=""width: 39.8578%; border-bottom: 1px solid black; border-left: none; border-right: none; height: 10px; vertical-align: top;""> <p>ICH GCP certification: {team_gcp_1}</p> </td> <td style=""width: 41.1165%; border-bottom: 1px solid black; border-left: none; border-right: none; height: 10px;""> <p>Is this person conducting a medical procedure? {team_meds_yn_1}[team_meds_what_text_1]{team_meds_what_1}[team_meds_qual_text_1]{team_meds_qual_1}</p> </td> </tr> </tbody> </table></div>",,,,,,,"[team_num] >= '1' AND [team_num] <> """"",,,,,,
